"No.","Time","Source","Destination","Protocol","Length","Info","srcPort","DestPort"
"238","0.013030500","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"239","0.013069119","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"240","0.013102708","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"241","0.013134659","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"242","0.013166855","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"243","0.013204518","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"244","0.013247608","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"245","0.013280352","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"246","0.013311835","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"247","0.013344149","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"248","0.013382002","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"249","0.013447394","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"250","0.013481392","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"251","0.013513226","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"252","0.013551494","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"253","0.013592677","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"254","0.013630705","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"255","0.013667175","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"256","0.013706212","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"257","0.013743678","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"258","0.013779405","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"259","0.013820828","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"260","0.013860188","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"261","0.013899117","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"262","0.013938948","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"263","0.013973549","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"264","0.014006986","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"265","0.014041365","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"266","0.014075744","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"267","0.014107967","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"268","0.014139533","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"269","0.014171383","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"270","0.014212260","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"271","0.014246535","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"272","0.014278481","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"273","0.014309978","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"274","0.014346299","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"275","0.014379852","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"276","0.014448233","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"277","0.014485291","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"278","0.016304156","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"279","0.016344541","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"280","0.016377010","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"281","0.016408716","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"282","0.016441134","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"283","0.016490469","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"284","0.016530646","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"285","0.016570846","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"286","0.016612917","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"287","0.016649609","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"288","0.016686635","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"289","0.016727767","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"290","0.016755668","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"291","0.016778574","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"292","0.016801076","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"293","0.016830445","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"294","0.016862937","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
